Dev_log2_enrichment	Hk_log2_enrichment
3.206450878	2.036525876
-1.114367026	-0.266370118
0.352301744	-0.232660756
2.514573173	2.684498174
-1.415681416	-1.223036339
1.984058456	1.13606155
3.4639471	4.4639471
2.530514717	2.736965594
5.321928095	3.556393348
0.80407979	0.666576266
-0.50589093	1.342105977
1.69743723	3.504792152
3.934904972	3.693896872
0.900464327	1.900464326
-1.933887327	-1.348924826
4.710493383	4.932885804
0.152003093	0.473931188
1.128156352	-0.193771743
1.202987022	0.202987023
3.181997834	3.012072832
0.89566334	0.632628934
0.274174964	0.381090167
-0.260025656	-1.996991248
1.929610672	2.929610672
0.526068812	0.263034406
6.25506279	6.340753179
2.383328639	2.798366139
0.483984853	1.409984271
3.538419915	3.797507136
3.792999629	-0.014355293
2.271302022	2.4639471
3.561115759	4.478653599
-0.432959407	0.415037499
1.609210047	0.609210047
1.304006187	2.789433014
0.152003093	1.567040593
2.96437609	3.134301092
1.095248315	0.510285814
-1.882643048	-0.88264305
1.263034406	2.0
1.621488377	2.736965594
-0.529253068	-1.403722186
-2.068240858	0.575615329
0.415037499	0.830074999
0.329461768	-0.670538233
-0.614709845	0.844721774
-2.10265813	-2.83962373
0.877143252	0.292180752
-1.684818736	-2.421784335
0.200912693	2.236536604
-0.386416822	0.613583179
0.175086706	-0.31034012
0.091361743	0.953858218
1.024247546	2.024247546
-0.805636406	-1.805636406
-0.867896465	-1.867896463
0.302734529	0.495379608
-1.151487752	-0.499411057
3.292180751	1.877143252
0.415037499	0.093109405
2.134301092	0.771731012
0.138706271	1.55374377
0.260151897	-0.839383775
-1.528571317	-0.680574413
0.205720953	-1.457244059
-0.478971806	1.768955708
0.489038081	-0.095924419
1.883514257	2.652901329
6.684498175	6.836501268
-0.065473838	-0.87282876
3.074000582	2.337034987
2.258918297	0.77349147
4.145050333	2.013805799
2.628905848	2.891940254
1.631612594	1.979535898
5.959358015	5.906890596
0.286932674	-0.520422249
1.454031631	1.006572654
1.552541023	0.415037499
0.13606155	0.984058456
2.152003093	3.04508789
2.321928095	3.473931188
2.785875195	2.126912112
-0.92599942	-0.510961919
-0.681288617	0.211796178
2.441509711	1.304006187
4.277533975	4.525461489
-0.321928095	-1.0
2.321928095	-0.093109404
2.621488377	3.621488377
-0.556633777	-1.14159628
5.163863249	4.500898236
-1.736965594	0.678071905
1.965442778	2.380480277
2.341380458	1.621488377
-0.205114429	-0.790076931
0.415037499	0.678071905
0.504304837	0.989731665
-1.865423976	0.041466618
0.2544041	-1.652486496
1.118055762	2.217591435
2.01449957	1.393011193
5.068171503	4.689659879
0.099535673	-0.900464326
-0.751320887	-0.014355293
3.282399731	3.019365325
0.152003093	-0.263034406
5.21605946	4.308253158
0.663716612	-0.336283388
2.041820176	3.293358943
-1.03562391	0.771731012
2.299560282	0.884522782
3.658963082	2.658963082
1.025995208	1.610957709
4.808456636	5.266886731
4.669851398	3.184424571
0.952694285	1.590124206
2.684498174	1.836501268
2.836501268	2.321928095
2.120294234	2.96829114
3.019365325	1.919829651
1.906890596	3.491853096
-1.944858444	-1.622930349
3.652076696	4.836501268
2.074000582	2.395928676
-0.237767647	0.592307351
1.439285046	1.346175641
1.549338591	1.771731012
0.973199941	1.558162441
2.480625841	2.89566334
3.0489096	3.736965594
-0.940166752	-1.618238656
0.603109848	1.603109848
-0.357010554	-0.735522176
4.206450877	4.428843299
3.447458977	3.216133431
0.757143476	1.172180976
-1.173926933	-1.851998838
0.112474729	1.112474729
0.358453971	1.206450878
4.071384633	4.461331152
2.652901329	1.009045139
0.470746932	1.055709432
0.367731785	-0.047305715
1.825502269	2.718587065
-0.832890014	0.337034988
-0.301169535	0.798366139
1.658963082	1.337034987
3.79683705	2.346175641
1.736965594	1.584962501
3.948469699	3.658963082
2.234465254	2.167351058
2.415037499	1.830074999
0.567040592	2.304006187
1.404390255	1.041820175
-1.175923741	-1.853995647
2.443234391	1.576500922
-0.504620392	0.080342108
2.389946518	4.35147237
0.19854568	1.78350818
0.491340867	-0.646162657
1.425763906	3.233118828
-2.223036336	-1.638073835
3.467778962	3.352301744
-1.942514503	-1.357552006
-0.092084399	0.618408984
-0.744161096	-0.159198595
2.395928676	3.243925583
-1.906890594	-1.491853095
-1.204245076	0.210792425
2.664209252	2.05415577
0.754243586	-1.468148836
2.890878278	2.170986197
2.935869663	2.061400544
-1.258016331	-0.258016331
3.658963082	3.881355504
4.129283017	5.409390936
-0.647698257	-1.647698257
3.367731785	3.426625473
3.807354922	3.0
3.0	2.678071905
6.611434712	5.852442812
1.594007641	0.915935735
1.342887714	1.101879614
1.986943847	2.69743723
-2.416164165	-2.831201669
3.277533976	3.736965594
2.225066556	1.055141554
-1.336283388	-1.014355293
2.919829651	5.470026734
-0.419538892	-0.097610797
0.900464327	1.793549123
3.041820176	2.819427754
-0.939853429	0.011236972
-3.191141489	-1.968749064
5.321928095	6.421463768
-0.683696455	-0.098733954
4.409390936	4.22881869
-0.193771743	1.128156352
-0.5849625	-0.169925001
1.074000582	2.948469699
1.184424571	1.447458977
0.792107149	-0.792855353
3.188661564	2.041820176
-0.210566986	-0.432959407
2.321928095	2.906890596
-1.160274832	-0.897240425
-1.711494909	-2.881419911
2.874469118	2.415037499
-0.286881148	1.639118271
3.036525876	2.036525876
2.805912948	2.068947354
2.650992371	2.403064858
0.312939312	-0.424026282
-0.836821832	-1.19939191
1.874469118	0.0
2.234465254	1.819427754
2.074000582	1.658963082
-0.876341531	-1.098733954
-0.765534747	0.234465253
1.849440324	2.227951947
1.358453971	0.621488376
-0.331514143	2.253448357
0.209227962	0.472262368
2.231074665	2.287658193
0.678071905	1.093109404
-0.314696525	-0.729734026
0.112474729	1.812914448
1.798366139	2.213403638
3.13606155	3.399095955
-0.827819024	0.172180975
2.736965594	1.234465253
1.26960706	0.132103536
3.38332864	3.96829114
-0.48327836	-1.260885941
-1.47573343	-1.890770932
0.361098692	0.875671865
2.929610672	3.389042291
-1.572889667	-0.572889667
0.185169957	-1.689299162
0.929610672	2.514573173
-1.067523994	0.6694416
-0.201633862	0.383328639
0.781735465	-0.803227035
0.678071905	0.263034406
